Group,x,y,t,s
H,-27.367111987605,396.33890411506,0,1
H,15.90746647348,165.48587457206,0,0
I,0.62294083629871,-124.04553377817,1,0
G,-21.308036787579,360.61613904062,1,0
G,-15.687761606969,187.75741939003,1,0
G,-21.804476177229,391.42314496656,1,0
F,7.109700348745,13.487789701664,1,1
G,29.039810290579,343.7658617677,1,1
I,-32.308673153309,-387.24722216988,1,0
H,38.557297772987,93.274800318421,0,1
H,43.217564362668,43.869404232534,1,0
F,9.242803813537,14.380550067229,1,1
G,-31.089789328673,529.96444634766,1,1
I,-11.925425671472,-54.509298424474,0,1
G,-13.60856285673,471.38954858034,1,0
G,28.746676073292,192.06140960337,1,1
G,-15.938807602943,176.13875652623,1,1
H,-15.839450027719,91.525978995732,0,0
I,-24.390351216025,-197.53301639554,1,1
H,44.5935416555,25.537531114434,0,1
I,1.4969158677836,-85.106862541804,1,0
H,15.463097676385,175.48802556865,0,1
G,-2.7414623604815,370.95967024283,1,1
I,-3.2940797844408,-270.90483747372,1,0
H,54.81619860689,133.00809134171,0,1
G,-18.14001429786,383.74016071099,1,1
G,-52.262819741975,643.49889741116,1,0
I,-11.247272014733,-198.64052727755,0,1
I,-26.869098791792,-151.88779863151,1,0
G,-13.397625546156,331.07273866146,1,1
G,-9.336804170784,316.01694717957,1,0
H,19.018557552257,179.81926578508,0,1
F,10.055129636105,14.17956497439,1,1
G,-50.789050698182,572.4066110963,1,0
G,-55.450599087612,566.53169410049,1,0
I,-8.9017361374114,-4.8703934461206,1,0
F,15.122241816075,15.832093952928,1,1
G,-26.207194561701,397.57940213549,1,0
F,2.3369550427128,11.900695582689,1,0
F,12.346479126414,14.323625694039,1,0
F,8.8117991196046,14.296825177358,0,0
G,-10.409182040677,222.22658976225,1,0
G,-51.838781690616,484.69036547872,1,0
I,-19.493441488824,-87.796455258409,1,1
H,-29.446263556576,474.96174238993,0,0
H,14.822425607975,306.67107604429,0,1
G,-25.652891186836,668.92348441385,1,1
I,-15.664022747736,-248.97564179868,0,1
I,-9.1266226946035,-136.02117479035,1,0
I,-25.824603299994,-260.2731096485,1,1
I,-12.232276350834,-110.44329493234,1,0
I,-15.404535688648,-26.267526568038,1,0
G,-9.5592715360966,423.23412521101,1,1
G,-28.992454230782,411.33170514802,1,0
H,10.278250217567,282.13277540874,0,1
G,-33.011995073879,576.98247257433,1,1
F,27.332273932794,17.603823428536,1,0
H,20.779699721737,299.08203368638,0,0
I,-15.103402629543,-168.34734877588,0,0
H,-16.678758389633,357.69835610627,0,0
F,20.793987119009,16.486810892885,1,0
F,4.4023597586911,12.999492471551,1,1
F,6.2029633057317,14.071870750328,1,0
G,-12.896437710103,495.32759475444,1,0
I,-18.455412344753,-295.30419257623,1,0
H,4.6750902988366,81.25545822189,0,0
I,-2.5956883801127,56.818372443699,1,0
F,47.962072347273,20.909515490008,1,1
H,12.835438104735,199.50525420369,0,0
H,6.1592546338957,150.53398499989,0,0
F,25.285398278053002,16.752730069458,0,1
H,11.314627618675,193.88446802408,0,1
F,12.425257201505,14.516427136436,1,1
H,15.722567912062,211.02041230165,0,1
H,49.324767430464,288.68449158672,0,1
H,28.266316152767,156.61738872603,0,1
I,-16.397386067266,-28.082196900659,1,1
I,-13.883666414248,-35.265986395658,0,1
F,5.0838004812057,12.802418108992,1,1
F,3.0835460652986,12.703259105534,1,0
I,-1.2940418544663,-40.218173792687,1,0
H,1.4151296957467,195.70259782332,0,1
H,11.562011061964,321.34262887498,0,1
G,-40.33013125245,713.04888636901,1,0
I,19.65766058986,202.63844784472,1,1
F,30.36590063589,17.885603668345,1,0
H,18.989671765822,322.3472755064,0,0
G,-25.597163856308,498.48412433289,1,1
H,84.757078247032,61.783968542136,0,1
F,17.656433624987,15.916501383174,1,1
G,-25.319012001305,576.99205066589,1,1
G,19.789994768701,498.7113488101,0,0
H,23.531707081726,189.01299249102,0,1
G,-29.543643719304,551.98758461838,1,0
H,13.098789738072,450.84542484947,0,0
G,-5.1297582421125,361.91892530998,1,0
H,-7.2609367683814,289.66184565735,0,1
I,6.2674302781315,130.88866023481,1,0
H,-47.650975887967,455.35282739827,0,0
F,6.9630289212628,13.452051917074,1,0
H,6.5086355202406,150.5818181185,0,1
F,10.096402002543,14.145850044036,1,0
G,-4.7041440977269,299.68280770941,1,1
F,6.3668312189946,13.293673758824,1,1
F,9.5793063079842,13.767826090004,1,0
G,-20.246441517606,379.53282053374,1,1
F,48.324988267536,21.051307070899,1,1
I,-6.3980387930749,-20.503713038053,1,1
G,-7.5835869510582,518.94077596345,1,1
H,20.731717029927,137.5155465093,0,0
I,-5.9389797146148,-292.7791475769,0,1
I,0.024251879669841,-40.605378253667,1,0
F,40.370786792771,19.489584872007,1,0
F,29.091825663621,18.018216752538,1,0
G,9.1786606112396,362.34517297956,1,0
H,37.051798242168,83.454908307854,0,0
G,-29.792304819353,484.12364787102,1,1
I,-21.830648006327,-81.542323550928,1,0
H,31.956555874998,171.76042220963,0,0
G,19.296549064711,362.36117473122,1,0
I,-13.436432670074,-21.199755527638,0,0
H,5.3982563751742,398.93888368641,0,1
G,10.727444809269,256.26667905565,1,1
G,-52.986368944396,715.88770383451,1,1
H,52.312775967788,173.84576514123,0,0
G,-3.9284167247491,274.66688580702,1,1
G,-7.3090203065933,330.85837251221,1,0
F,18.422150537568,16.142543877117,1,1
F,15.695732238561,14.94180652815,1,0
G,-33.826312777971,520.65623917461,1,1
G,-14.260159724979,200.57164106684,0,1
I,-3.4701334352,14.868023290703,1,1
I,1.2749218047945,-35.53928766937,1,1
I,-13.892538289955,-99.373358877084,0,1
I,-15.238127546496,-163.17207839674,1,1
I,-24.989417648869,-78.789726927313,0,0
H,35.831756453417,105.23404880345,0,1
H,-5.4044465047328,324.60081782453,0,1
G,19.477759588732,374.76084913023,1,0
I,0.88968913810779,-54.181450844827,1,1
I,9.6345853883003,64.498036330798,0,0
G,-10.808229328044,360.295777816,1,1
H,69.302826912283,67.816624533765,0,1
I,2.6245331902171,47.544864756775,0,0
F,2.4236236887163,12.403728842978,1,1
F,10.111514702491,14.207234845042,1,1
H,11.057279037804,198.89752933006,0,0
I,1.7329232714758,-138.26785684296,1,1
H,5.9991013836111,166.80112495823,0,0
F,22.689188992926,16.719109768045,1,1
I,-5.516481022591,-134.17862803404,1,1
H,-2.73904937447,367.62169480725,0,1
I,-0.5280399236493,160.77454447224,1,1
F,14.358426708895,14.971548359843,1,1
I,-14.21127848663,-60.894329900338,1,1
F,4.4904482860539,12.737958020699,1,1
G,-28.300515323086,399.74626796169,1,0
G,-27.216525336828,348.88707060594,1,0
I,-7.3479235639553,-149.56526937222,1,0
I,-6.0016756965787,-209.34102711516,1,1
G,3.2131714053513,238.89171922667,1,0
F,9.2413960319205,14.726240853411,1,1
F,11.45055577599,14.504876164731,1,0
I,-20.30583627024,-274.63917032007,0,1
G,-43.686639529507,599.35020893456,1,0
G,-51.555545795502,714.85406829131,1,0
I,-16.313194722549,-276.01177331061,0,0
I,-8.5058407399365,-178.02786539031,1,1
I,-6.4908504390581,-101.57204223684,1,0
G,-1.6493229650191,277.65577203625,1,1
H,30.449676095717,133.32948026542,0,0
I,-14.810243554325,-13.303317448731,1,0
H,0.28882832885199,410.25566862861,0,0
H,-66.869980186629,598.25618193636,0,0
G,-10.313732288458,329.37599065359,1,1
F,20.771834879542,16.630679299672,1,1
H,-4.4930827829489,215.91767181685,0,1
H,-8.0150691522356,299.58402386707,0,1
I,1.4227259831609,32.923552034853,0,1
F,15.709910203568,15.839944989671,1,0
I,-7.4624037986912,-77.40601568362,1,0
F,15.206349684487,15.699287836473,1,1
H,-24.985077831422,297.11879289994,0,1
F,1.4472031050582,12.08385848631,1,1
G,-38.049288354837,546.58636642601,1,0
F,9.4360690039751,14.447715764476,1,0
G,10.229973148196,317.4906983322,0,1
G,-23.039054688084,455.86875895777,1,0
F,73.167811637357,23.916499450269,1,0
F,35.112737332058,18.570770922515,1,0
H,13.764329208883,294.37902777613,0,1
G,-39.551961705346,496.57230353568,1,1
I,-10.235137425007,-212.79792669825,1,0
F,15.359019172079,15.525187977874,1,0
H,30.367707778405,213.13053249853,0,0
H,30.621439521956,168.91201110832,0,1
F,28.936109039437,18.125222814532,1,0
H,-18.989217340476,317.14016202378,0,1
F,45.323161631507,20.737735367413,1,0
G,1.8368739978582,345.47667498164,1,0
F,14.589298365912,14.749213590341,1,1
H,30.814675305884,144.66742358062,0,0
I,-14.201822850482,-227.58742054719,1,0
H,4.364233049268,222.25364601391,0,1
G,-0.10070159430648,278.93224932343,1,1
H,44.694119985073,45.66610922416,0,0
G,-22.076133071946,571.64728911391,1,1
G,-25.435757270286,392.66066800368,1,1
G,-22.59069048408,340.69421450454,1,0
F,45.819304600274,20.345440623729,1,1
F,10.380444301469,13.702045516901,1,1
H,2.9569925055639,263.17121525489,0,1
F,9.7310033402084,14.523886376828,1,0
I,16.50827176101,-78.229184650923,1,0
