countyFIPS,PostalCode,StateFIPS,X2020.06.01,X2020.08.01,X2020.10.01,X2020.12.01,X2021.02.01,X2021.04.01,FIPSnumber,Percent.of.adults.with.less.than.a.high.school.diploma..2015.19,Percent.of.adults.with.a.high.school.diploma.only..2015.19,Percent.of.adults.completing.some.college.or.associate.s.degree..2015.19,Percent.of.adults.with.a.bachelor.s.degree.or.higher..2015.19,StateName,County,Rural_urban_continuum_code_2013,Civilian_labor_force_2019,Unemployment_rate_2019,Median_Household_Income_2019,Med_HH_Income_Percent_of_State_Total_2019,Rural.urban_Continuum_Code_2003,PCTPOVALL_2019,PCTPOV017_2019,PCTPOV517_2019,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,votes_gop,votes_dem,total_votes,white,votingPop,gopPercent,demPercent,black,hispanic,CDPerThou.06.2020,CDPerThou.08.2020,CDPerThou.10.2020,CDPerThou.12.2020,CDPerThou.02.2021,CDPerThou.04.2021,PoliticsGroup
1001,AL,1,5,21,27,41,69,99,1001,11.5,33.6,28.4,26.6,Alabama,Autauga County AL,2,26172,2.7,58233,112.5,2,12.1,15.9,14.4,55869,27092,28777,20878,21729,5237,6000,121,145,286,370,26208,27990,20138,21077,884,787,740,652,19838,7503,27770,0.762623279457302,0.497055612235766,0.714368023046453,0.270183651422398,0.201131217669906,0.0299092520002148,0.08949506882170792,0.3758792890511733,0.4832733716372228,0.7338595643380049,1.2350319497395694,1.772002362669817,3
1003,AL,1,9,22,53,137,224,301,1003,9.2,27.7,31.3,31.9,Alabama,Baldwin County AL,3,97328,2.7,59871,115.6,4,10.1,13.5,13.3,223234,108247,114987,94810,100388,9486,10107,903,839,932,1448,102702,109998,89845,95902,5545,4989,4965,4486,83544,24578,109679,0.874409812125393,0.491318526747718,0.761713728243328,0.22409029987509,0.0877688882517896,0.0471881523423851,0.04031643925208526,0.09855129594954173,0.23741903115116872,0.6137057975039645,1.0034313769407885,1.3483609127641847,3
1005,AL,1,1,5,7,11,40,55,1005,26.8,35.6,26,11.6,Alabama,Barbour County AL,6,8537,3.8,35972,69.5,6,27.1,41,39.5,24686,13064,11622,6389,5745,6311,5595,103,67,55,61,12435,11134,5894,5341,629,488,495,404,5622,4816,10518,0.491533662804829,0.426071457506279,0.534512264689104,0.457881726563986,0.482297658591914,0.0452483188851981,0.04050879040751843,0.20254395203759215,0.28356153285262903,0.4455966944827027,1.6203516163007372,2.2279834724135137,2
1007,AL,1,1,2,10,18,52,60,1007,20.9,44.9,23.8,10.4,Alabama,Bibb County AL,1,8685,3.1,47918,92.6,1,20.3,25.9,25.2,22394,11929,10465,8766,8425,2941,1822,53,50,23,25,11586,10185,8482,8181,343,280,284,244,7525,1986,9595,0.767660980619809,0.428462981155667,0.784262636789995,0.206982803543512,0.21269089934804,0.0278199517727963,0.044654818254889705,0.08930963650977941,0.446548182548897,0.8037867285880147,2.3220505492542647,2.6792890952933823,3
1009,AL,1,1,3,15,40,100,131,1009,19.5,33.4,34,13.1,Alabama,Blount County AL,1,25331,2.7,52902,102.2,1,16.3,21,21.4,57826,28472,29354,27258,28154,516,462,192,178,85,100,25522,26722,24494,25682,2950,2632,2764,2472,24711,2640,27588,0.958254072562515,0.47708643170892,0.895715528490648,0.0956937799043062,0.0169128073876803,0.0965309722270259,0.017293259087607652,0.05187977726282295,0.2593988863141148,0.6917303635043061,1.729325908760765,2.265416940476602,3
1011,AL,1,6,12,15,19,29,40,1011,25.3,40.3,22.3,12.1,Alabama,Bullock County AL,6,4818,3.6,31906,61.6,6,30,39.9,39,10101,5508,4593,1629,1060,3713,3384,40,44,9,12,5059,4178,1350,771,449,415,279,289,1146,3446,4613,0.266211266211266,0.456687456687457,0.248428354649902,0.747019293301539,0.702603702603703,0.0855360855360855,0.594000594000594,1.188001188001188,1.485001485001485,1.881001881001881,2.871002871002871,3.96000396000396,1
1013,AL,1,18,36,40,42,60,66,1013,15,45.2,23.7,16.1,Alabama,Butler County AL,6,9263,3.6,39944,77.2,6,21.6,34.6,32.8,19448,9024,10424,4829,5298,3885,4862,39,38,168,111,8871,10288,4730,5207,153,136,99,91,5458,3965,9488,0.52072192513369,0.48786507610037,0.575252951096121,0.41789629005059,0.449763471822295,0.0148601398601399,0.9255450431921021,1.8510900863842041,2.0567667626491155,2.1596051007815715,3.0851501439736735,3.3936651583710407,3
1015,AL,1,3,9,44,121,232,305,1015,15.6,32.8,33.2,18.5,Alabama,Calhoun County AL,3,46209,3.5,47747,92.2,3,17.2,24.6,22.8,113605,54481,59124,41342,43980,11220,12993,310,295,401,623,52123,56868,39377,42087,2358,2256,1965,1893,35101,15216,50983,0.751040887284891,0.448774261696228,0.688484396759704,0.298452425318243,0.213133224770037,0.0406144095770433,0.0264072884116016,0.0792218652348048,0.38730689670349017,1.065093965934598,2.042163637163857,2.6847409885128295,3
1017,AL,1,25,38,42,50,76,117,1017,18.4,36.7,31.6,13.3,Alabama,Chambers County AL,6,15748,2.9,42015,81.2,6,19.6,30.4,31.1,33254,15895,17359,9157,9813,6221,7144,59,50,240,134,15423,16960,8835,9496,472,399,322,317,8753,6365,15284,0.570457689300535,0.459613881036868,0.572690395184507,0.416448573671814,0.401906537559391,0.026192337763878,0.7517892584350755,1.1427196728213147,1.2630059541709269,1.503578516870151,2.2854393456426294,3.5183737294761532,3
1019,AL,1,3,8,13,24,35,43,1019,18.4,40.3,28.6,12.8,Alabama,Cherokee County AL,6,11604,2.9,45982,88.8,8,15.9,23.3,21.6,26196,12926,13270,12033,12376,558,515,94,87,37,66,12697,13050,11833,12181,229,220,200,195,10583,1624,12301,0.931783478393648,0.469575507711101,0.860336558003414,0.132021786846598,0.0409604519774011,0.0171400213773095,0.11452130096197893,0.30539013589861047,0.496258970835242,0.9161704076958315,1.3360818445564209,1.6414719804550313,3
