Group,x,y,t,s
D,19.333081126834,-0.30163620938623,1,1
A,4.0753204999842,226.14737169917,1,1
A,16.345036759668,392.45333673128,1,1
B,28.292228212716,14.570978370128,0,0
D,11.755395841671,282.31459956398,1,0
A,-24.511306197621,261.03855479371,1,1
D,-20.014899986803,422.41005104939,1,1
B,28.954282870961,13.699558753529,0,1
C,36.128845878937,74.223619861167,1,1
A,-25.418712702775,146.15017475893,1,1
D,0.27404914715981,197.64570388694,1,0
D,8.3278688147328,206.32183168983,1,0
B,22.69188072099,12.836398314787001,0,0
D,-5.6775228118885,391.54169423531,1,0
B,12.24522675399,9.7601252557497,0,1
C,-25.191356332596,-18.383888036657,1,1
C,24.508852941687,48.245901857152,0,1
C,44.923005523124,-41.826911954594,0,0
B,10.921752316375,10.427396710587,0,0
B,18.605753534756,12.361756173074,0,0
B,18.9328235923,12.729709205253,0,1
C,-23.887102953106,236.83365290511,1,0
B,11.011038569273,10.405177707699,0,0
C,11.438015268854,81.847474982425,1,1
A,-16.086631257127,298.654120548,1,1
A,-34.019536710819,63.394021161084,1,0
C,-52.018790575684,164.97910089697,1,0
C,55.718203578013,125.49885273841,1,0
C,-4.6269551937594,-22.456991090186,1,1
C,-3.7086623705498,-53.278672266881,1,0
B,17.351111338172,11.963517507168,0,0
D,-24.634007645135,381.77951670195,1,1
A,13.630825419273,255.519328153,1,0
D,9.7924769557046,135.64820825525,1,1
B,23.732448514426,12.872529562861,0,0
C,-13.609726318908,-28.208405131106,1,1
B,25.033070166145,12.946476243428,0,0
A,-15.47101011708,234.28823131849,1,0
C,-2.1273823390377,127.11069220682,1,1
A,19.994792609473,401.58656838238,1,1
C,27.30249736705,141.00197200384,1,1
A,13.026238550444,427.87594085507,1,1
C,49.89329356183,169.56681313113,0,1
C,-44.727724369023,42.33503738201,1,0
B,15.493979453805,11.55997517284,0,0
A,-14.570398148881,46.406628264769,1,1
A,-36.477182853723,114.85739101929,1,1
D,19.77048157983,319.13162311173,0,0
C,11.234242891071,139.92995075552,1,1
C,8.5104109707803,116.7108797886,1,0
C,1.4144703361273,-58.53959614669,1,1
B,37.279758329168,14.965027955425,0,1
A,-20.060792286909,146.2249373655,1,1
D,-12.380653753123,519.53897758785,1,1
C,31.392380564191,67.407554825958,1,0
B,19.975978882972,12.198721399007,0,1
D,1.6023645846184,166.50306736282,1,1
B,7.882702249979,9.5375413400839,0,0
D,16.741327039311,187.76025942562,1,1
C,-3.8076639253682,106.93782082756,1,1
A,-28.585702667751,56.815486055713,1,0
A,-9.3994559205135,134.72034284879,1,1
C,8.9802131843661,120.88582603907,1,1
C,27.227451885225,104.77011361056,1,1
A,-38.092369067526,15.60048901923,1,0
D,-14.859731011493,411.62125420041,0,0
A,8.7673089763929,195.30547147445,1,0
C,21.11078599473,-14.606497130173,0,0
