Group,x,y,t,s
D,19.333081126834,-0.30163620938623,1,1
A,16.345036759668,392.45333673128,1,1
B,28.292228212716,14.570978370128,0,0
D,11.755395841671,282.31459956398,1,0
A,-24.511306197621,261.03855479371,1,1
B,28.954282870961,13.699558753529,0,1
A,-25.418712702775,146.15017475893,1,1
D,0.27404914715981,197.64570388694,1,0
B,22.69188072099,12.836398314787001,0,0
D,-5.6775228118885,391.54169423531,1,0
C,24.508852941687,48.245901857152,0,1
C,44.923005523124,-41.826911954594,0,0
B,10.921752316375,10.427396710587,0,0
B,18.605753534756,12.361756173074,0,0
A,-16.086631257127,298.654120548,1,1
A,-34.019536710819,63.394021161084,1,0
C,-52.018790575684,164.97910089697,1,0
C,-4.6269551937594,-22.456991090186,1,1
C,-3.7086623705498,-53.278672266881,1,0
D,9.7924769557046,135.64820825525,1,1
B,23.732448514426,12.872529562861,0,0
C,-13.609726318908,-28.208405131106,1,1
A,19.994792609473,401.58656838238,1,1
C,27.30249736705,141.00197200384,1,1
C,49.89329356183,169.56681313113,0,1
C,8.5104109707803,116.7108797886,1,0
B,37.279758329168,14.965027955425,0,1
B,19.975978882972,12.198721399007,0,1
D,1.6023645846184,166.50306736282,1,1
B,7.882702249979,9.5375413400839,0,0
A,-28.585702667751,56.815486055713,1,0
A,-9.3994559205135,134.72034284879,1,1
C,8.9802131843661,120.88582603907,1,1
C,27.227451885225,104.77011361056,1,1
A,8.7673089763929,195.30547147445,1,0
C,21.11078599473,-14.606497130173,0,0
C,-1.9225228479703,-55.944476454959,1,0
C,-24.619598822491,172.9435134893,0,0
D,23.567823099703,147.25944857125,1,0
C,-4.1942724660944,62.104936379523,0,0
D,-7.8221493930659,238.68557089553,1,1
B,13.822551957249,10.808575761355,0,1
C,5.4364815379663,284.42831368066,1,0
C,30.129225581945,167.8941006497,1,1
A,-32.867720986189,91.644777738324,1,0
A,-10.959022250007,164.63059974165,1,1
C,42.044079395497,46.92466674369,1,0
D,-8.1093812631952,261.14851843666,1,1
D,6.2392929588627,228.9114347668,0,0
A,-6.326738103445,197.30919855801,1,1
C,-13.065367852834,114.6879341396,1,0
A,-16.791186319101,105.21613844727,1,0
A,-27.668584544523,77.587555040879,1,0
D,-10.794833703337,473.98851502453,1,1
D,-9.3912266247865,174.57912323046,0,0
D,17.810849279077,257.11578383582,1,0
A,-50.336070632253,39.255652269468,1,1
A,-21.913232713897,47.400122975651,1,1
A,10.645676538183,239.53003520636,1,0
B,16.423816904623,12.21085245856,0,1
A,-25.776084310271,2.2382659317172,1,1
B,12.603791637627,10.871453737529,0,1
D,13.663501588471,104.50830216404,1,0
C,-14.605638506639,14.678839541822,1,0
A,13.900260786014,418.97469122893,1,1
B,35.194187545774,15.251531879558,0,1
B,14.909223906188,10.410643778531,0,0
B,2.9596849544717,8.7031525326138,0,1
C,6.5233626447261,89.363610214723,0,0
D,8.2295248462956,315.15939123377,1,1
C,-1.8822694611188,120.31068075137,1,0
D,-4.004491920585,319.01386023872,0,0
C,-19.34283207466,-12.412228174234,1,0
D,1.0696632559736,95.673323877469,1,1
C,17.945526649219,-38.646933187566,1,0
A,-26.265924427782,121.72437729208,1,1
B,7.4902900939296,8.6614912983971,0,1
D,-16.68249990916,472.41823315873,1,1
D,-7.5193401395899,446.76200658072,1,1
C,22.16603636144,-131.57514466838,0,0
A,-9.6736012295231,66.32651631363,1,1
C,14.577907570907,-7.2213279708388,0,0
C,-5.3063120307896,76.00237212563,0,0
A,-51.35206371795,25.521765156426,1,1
C,-26.789149447712,165.5211693321,1,0
A,-22.861591379094,33.470239491421,1,0
B,9.9104714588777,10.481291903691,0,1
A,7.5516009081861,273.83520372903,1,0
D,11.702041786957,256.20881753471,1,0
D,-2.2231310178634,180.94833318794,1,0
C,2.1204450275378,116.57942039407,1,1
B,7.2095045480921,8.5615867591492,0,1
C,-20.598170204367,-140.23547934705,1,1
B,16.834957033785,11.812856768986,0,0
B,5.3624037603673,8.8525228959268,0,0
C,22.830714994963,-45.588346883929,0,0
A,5.2053894368957,378.48242960148,0,0
B,52.503326403211,17.763556250952,0,0
C,-4.8460157182282,-51.862862463511,0,0
A,24.83144398538,358.65275258881,1,1
A,-26.358533235899,111.12708849,1,0
A,-2.8021417887891,299.13392758236,1,0
C,-37.925488531555,105.08288134731,0,0
D,4.8111719502188,133.04048632553,1,1
B,40.345828462553,15.712921112526,0,1
D,1.9861532524164,168.20048377346,1,0
D,4.7904499782205,304.40716006672,1,0
D,15.708577214605,354.29882711139,1,1
D,5.2259818777563,373.70933627091,1,0
A,16.869339024587,221.94205246071,1,0
D,-16.293629766579,544.36975707923,1,0
B,0.75981603598214,7.6898863284433,0,1
A,-36.346672966772,75.36837955302,1,0
C,30.178638919805,15.568017255779,1,1
A,-19.937648933352,241.37586653576,1,0
D,17.824199564673,299.84868744987,1,0
B,14.49630010058,10.773639081781,0,1
D,25.940618086579,366.89905111673,1,0
A,-14.514709069168,82.350625206414,1,1
C,-11.218358642523,129.99989316007,1,1
A,-5.2630500608417,217.30740238368,1,0
D,-3.6197299387398,297.69488995834,1,1
D,13.729368379214,302.30275656809,1,1
D,19.39393107658,416.86457846773,1,0
D,-6.8986652907443,330.44184746567,1,0
A,-4.8285598619043,162.00876242388,1,0
C,10.93611289651,-97.799652733281,0,0
D,-4.4868748963284,354.53305931181,1,1
C,5.4454021274324,148.48924056696,1,1
A,-31.719663493205,8.3551073420583,1,0
A,-11.821308168499,86.203743602244,1,0
A,-6.9697609464497,259.3765680517,1,0
A,-28.979660279574,59.803710512726,1,0
D,-1.4382560716189,396.05140820381,1,1
D,1.5626723540773,214.6884609776,1,0
C,-43.752651908785,81.78714250903,1,1
B,25.609855492418,13.132268317066,0,0
C,-28.359573552087,79.909747584215,1,1
B,43.74142399232,16.558748919514,0,0
A,-19.643900896722,157.31489050589,1,0
C,0.53125268245639,309.70730962358,1,0
A,-3.8904359950174,296.78970886757,1,0
D,9.7625339588907,163.03023157456,1,1
C,26.128827491835,124.57432071565,1,0
C,12.8679493395,6.5790309475637,1,0
D,4.5553367447831,57.40765967891,1,1
D,19.437003501429,113.25574092858,1,1
A,-5.88804369694,305.98820007033,1,1
A,12.950319222151,346.40032155318,1,1
A,-44.340684001027,8.0615440695834,1,0
C,31.26719569241,42.105252721862,1,1
C,39.163003753947,-63.014626172378,1,1
B,29.246896243303,14.754946809922,0,1
B,5.0369578697891,8.7477638275789,0,1
B,5.6043756183257,8.1746574840155,0,1
A,-12.040649054591,218.28319299234,1,1
B,24.845131513125,12.793120203153,0,0
D,-27.109993933286,481.53234320066,1,0
C,9.3053694131344,230.26099451969,1,0
D,8.7521006868929,138.53939399661,1,1
D,8.3582324564263,120.92533139229,1,0
D,-3.0813843929588,83.892225694327,1,0
B,40.209498565742,15.83734826425,0,1
C,46.477169868759,68.938971376949,1,1
A,-20.181286764881,10.469574938281,1,0
C,-30.069928185116,27.859052457315,1,1
D,-9.2140411563283,408.84348511782,1,0
B,4.0890027080146,8.1472625001653,0,1
C,19.561624001507,-6.9237834466266,1,1
B,17.023297288,11.384869610132,0,0
A,-6.5549945181957,144.49069377058,1,1
C,-14.11211863631,-104.16292572914,0,1
C,10.369209300899,-44.484292190282,0,0
B,16.214190453391,11.777554619771,0,0
D,-3.8346579176535,356.4559831179,0,1
D,4.4297232117642,405.39989922121,1,1
A,-33.99682904966,24.454140527385,1,1
D,-1.0477090715653,329.89615138941,1,0
A,9.0651325304364,234.6748499459,1,0
A,4.5897808822756,209.75277541939,1,0
B,1.7338972323266,7.0118977554447,0,1
D,-1.6562525647023,285.17004787092,0,0
D,-27.423497414879,380.59769342914,1,0
C,-13.600619682391,90.79414958311,0,1
A,-33.870344035267,80.33257609435,1,1
A,-29.591516166735,168.2303835937,1,1
A,3.7662343768246,374.93427066874,1,0
C,4.1944037676763,58.172793095546,1,0
B,31.434249624346,14.189743054099,0,0
C,68.394705268738,94.917320864237,1,1
C,-38.948614418483,81.817392704458,1,1
C,-1.4721419236027,49.341159231188,1,1
D,-22.225362371758,307.65569309362,1,1
C,-15.134466291002,78.737576888752,1,1
B,36.916437032128,15.446422963769,0,0
B,12.645277215468,11.228865642426,1,1
B,10.985973214258,11.377522834881,0,1
A,23.466020501436,361.65395159398,1,0
A,-35.045970851111,164.4737284493,1,0
A,-39.84587088127,42.575667164556,1,0
C,15.105304844261,207.93042703575,0,1
B,8.6496581102953,9.1059941415247,0,1
B,43.401998994594,15.965532085241,0,1
B,11.648878095508,10.513756422892,1,1
A,16.305629008592,461.25102331734,1,1
A,-14.943506117418,147.61494652071,1,1
D,9.9574679024319,184.95702825392,1,0
C,-3.2091711960776,-14.183407528877,0,1
C,-16.494026798519,93.363486168144,1,0
C,-17.392773243316,69.882455534713,1,1
D,-8.0699280547304,510.56270313056,0,1
A,8.8804672844151,131.3173018267,1,0
B,16.294651605326,11.166560290026,0,1
C,9.0646651224534,13.320385704898,1,0
B,4.6045078582151,8.9244024444214,0,1
C,6.9931317055566,9.7586881289066,0,1
A,-24.160749926772,173.41579432805,1,1
D,12.06407615266,142.4810406824,1,1
C,18.628567884969,183.34683094004,0,0
C,44.749050004291,132.97858368884,1,1
C,-20.236045034247,192.01438448625,1,1
B,24.348289858712,13.652052556348,1,1
C,22.432878905643,-35.699980083248,0,0
D,-1.8148254173877,350.31193984827,1,0
C,4.6220871003447,-0.028524141306264,1,1
A,-27.059132953202,197.04569545018,1,1
B,14.037500984053,10.526599016321,0,0
B,15.515602089239,11.218206031355,0,1
B,19.379866422797,12.40300055178,0,0
C,-18.355047916228,49.763455997577,1,1
D,-23.897496168454,322.75930165116,1,1
B,23.237521092984,13.532042481495001,0,0
B,8.2708425485859,9.5294066692215,0,0
C,33.428834490212,19.820119809741,1,1
A,-14.757530833016,216.0809409954,1,1
B,25.934714791335,13.610501939526,0,0
C,42.434765401033,-12.001422205475,1,0
A,-24.668676222986,168.93052614524,1,1
B,19.8672452438,12.51192693208,0,1
C,-16.178320441944,150.99512018449,0,0
D,-17.36956783541,414.99844874255,1,0
D,8.7520310984701,98.394655516089,1,1
D,34.039966851491,145.867930734,1,0
A,-42.588832912309,89.714723618568,1,0
B,12.988516821055,11.229087089737,0,0
B,5.245334053992,8.6178894693884,0,0
A,-9.8188151790848,128.10935073724,1,1
B,2.8688295124419,8.2153889200498,0,0
B,26.215491143156,13.811189831643,0,0
A,-1.7251115696156,178.62059215066,1,1
C,-25.508005496817,63.227296637477,1,0
B,10.997336631174,10.276793537157,0,1
D,20.331601181222,356.08065800233,1,0
D,0.088619290892325,433.44996791261,1,0
B,10.700435494399,10.013675263391,0,1
B,11.624685911287,10.472848511981,0,1
D,20.918770068753,286.34614858746,1,1
A,-25.886889006424,142.3352419228,1,0
D,6.5208106732559,162.19085647501,1,0
C,72.773332003864,63.524847075588,1,0
B,20.810977319633,11.766068148694,0,1
D,-6.1619172208765,221.97429282357,1,1
A,4.9763880469726,256.30770470123,1,0
A,-22.589756517946,66.873281026666,1,1
D,-4.547026033768,400.25740339479,1,0
A,-16.136106675554,119.51286771591,1,1
C,6.0738319298596,146.83254683382,0,0
D,-18.769827718274,380.21679715496,1,1
A,-40.396890835556,41.219735346837,1,1
D,18.823558882262,240.004998405,1,1
C,17.191129759043,63.955353543607,0,1
C,35.369035852779,88.013628479565,1,1
D,-12.771501428807,456.81666976298,1,0
C,-12.861395167588,174.02419799335,0,0
D,-11.977308235121,456.87342462031,1,1
B,14.762946023961,11.789300823623,0,1
D,10.266164425884,190.34587916143,1,1
A,-4.5297730288141,178.57106609483,1,1
B,16.299228720506,11.256057121176,0,0
B,34.925855071715,15.039765370392,0,1
C,42.375610446732,3.92257290749,0,1
A,-25.359981841575,49.819125295067,1,1
A,-14.735608181793,137.98313663759,1,0
A,-5.4642578491309,142.78552949372,1,1
D,-1.1363659068646,193.11694453383,0,1
A,14.827258098324,292.24365752109,1,0
D,-5.668384801442,284.50001179124,1,1
C,-50.22389698365,-26.692026412902,1,1
A,-27.997797954361,90.292613898075,1,1
D,1.9055818616904,99.45455683789,1,1
D,-24.472505335916,488.3545740458,1,0
A,42.046776928029,381.37308916886,1,0
D,-21.752461772297,385.15283245694,1,0
C,1.3211312854295,-59.193177840762,1,1
B,15.286031067039,11.353502427847,0,0
B,3.1312919571676,8.5695176097283,0,0
A,-14.512310112599,23.355012235397002,1,1
D,19.393640779608,263.61682677484,1,1
C,4.8590380534805,79.198284424934,1,1
A,2.1283943053002,114.16453399005,1,1
C,18.256492013231,42.724067957943,0,0
C,8.4606418788715,95.306387808317,0,0
C,7.7528763039749,-12.267504278229,1,1
C,3.1691524987897,87.159708123729,1,1
A,-45.717777149155,90.61725076829,1,1
D,13.956255054081,12.744112538986,1,1
A,-21.373453062202,38.22455800568,1,0
D,24.805928382467,332.29913478964,1,0
A,-11.635784590447,161.43463701356,1,0
D,19.009639464789,361.76182284707,1,1
A,-5.301124783373,47.195930414924,1,0
C,-29.398155051003,-118.02632880631,0,0
C,-28.470989956274,-189.5764091595,0,0
A,7.2574587530724,314.58040781113,1,1
D,30.010452819993,298.56026944311,0,1
